article_id,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10
1,Quelle est la portée de la loi mentionnée dans l'article?,Quels types d'actes sont régis par cette loi?,Qui est concerné par cette loi selon l'article?,Quel est le titre du livre dans lequel se trouve cet article?,Comment l'article définit-il les commerçants?,Y a-t-il des exceptions mentionnées pour les actes de commerce?,Quelle est l'importance de cette loi pour les commerçants?,L'article précise-t-il des sanctions pour les violations de la loi?,Comment cette loi pourrait-elle affecter les nouvelles entreprises?,Quelles sont les implications de cette loi pour les transactions commerciales?
2,Quelles sont les sources de droit mentionnées dans l'article?,Comment le droit civil est-il appliqué en matière commerciale selon l'article?,Quels principes doivent être respectés lors de l'application du droit civil en commerce?,L'article fait-il référence à des coutumes spécifiques du commerce?,Quelle est la portée des lois commerciales selon cet article?,L'article mentionne-t-il des exceptions à l'application du droit civil?,Comment l'article définit-il la relation entre le droit commercial et le droit civil?,Quels sont les principes fondamentaux du droit commercial évoqués dans l'article?,"L'article indique-t-il une hiérarchie entre les lois, coutumes et usages du commerce?",En quoi cet article est-il pertinent pour les commerçants?
3,Quelles sont les deux catégories de coutumes mentionnées dans l'article?,Comment les coutumes et usages spéciaux se comparent-ils aux coutumes générales?,Quel est le principe fondamental énoncé dans cet article?,Dans quel contexte les coutumes locales sont-elles prioritaires?,L'article fait-il référence à des exceptions aux coutumes générales?,Quel impact les coutumes locales peuvent-elles avoir sur le commerce?,L'article mentionne-t-il des exemples de coutumes spécifiques?,Comment les commerçants doivent-ils interpréter les coutumes locales selon cet article?,Cet article s'applique-t-il à tous les types de commerce?,Quelle est l'importance de la connaissance des coutumes pour un commerçant?
4,Quelle est la nature de l'acte lorsque l'un des contractants est un commerçant et l'autre un civil ?,Quelles règles s'appliquent à la partie pour qui l'acte est commercial ?,Est-il possible d'opposer les règles du droit commercial à la partie civile ?,Quelles dispositions peuvent modifier l'application des règles du droit commercial ?,Comment le droit commercial et le droit civil interagissent-ils dans cet article ?,Quelles sont les implications pour un contractant civil dans un acte commercial ?,L'article mentionne-t-il des exceptions aux règles générales ?,Quel est le contexte juridique de cet article dans le code de commerce ?,Comment cet article pourrait-il affecter les relations entre commerçants et civils ?,Pourquoi est-il important de distinguer entre acte commercial et acte civil ?
5,Quelle est la durée de prescription des obligations entre commerçants selon l'article?,Quelles sont les parties concernées par les obligations mentionnées dans l'article?,L'article mentionne-t-il des exceptions à la durée de prescription de cinq ans?,Quels types de relations commerciales sont abordés dans cet article?,L'article s'applique-t-il uniquement aux commerçants?,Que signifie 'prescription' dans le contexte de cet article?,L'article fait-il référence à des dispositions spéciales en matière de prescription?,Comment l'article définit-il les obligations nées du commerce?,Est-ce que la durée de prescription est la même pour les commerçants et les non commerçants?,Quel est le titre de l'article dans le document 'codedecommerce'?
6,Quelles sont les conditions pour acquérir la qualité de commerçant selon l'article?,Quels types d'achats permettent d'acquérir la qualité de commerçant?,Comment la location de meubles corporels ou incorporels contribue-t-elle à la qualité de commerçant?,Quels sont les types d'immeubles mentionnés dans l'article pour l'acquisition de la qualité de commerçant?,Quelle activité est liée à la recherche et à l'exploitation des mines et carrières?,Quels secteurs sont inclus sous l'activité industrielle ou artisanale?,Quelles opérations financières sont mentionnées dans l'article?,Comment le courtage et la commission sont-ils définis dans le contexte de la qualité de commerçant?,Quels types d'activités sont liés à l'exploitation d'entrepôts et de magasins généraux?,Quel rôle joue l'imprimerie et l'édition dans l'acquisition de la qualité de commerçant?
7,Quelles sont les activités qui permettent d'acquérir la qualité de commerçant selon l'article ?,Quels types d'opérations sont mentionnés concernant les navires ?,L'article mentionne-t-il des opérations liées à l'exploitation des aéronefs ?,Quelle est la portée géographique des activités mentionnées dans l'article ?,L'acquisition de la qualité de commerçant est-elle limitée à un type d'activité ?,Quels accessoires sont inclus dans les opérations portant sur les navires ?,L'article fait-il référence à des activités spécifiques en dehors du commerce maritime et aérien ?,Comment l'exercice habituel des activités influence-t-il la qualité de commerçant ?,Y a-t-il des conditions particulières pour l'acquisition de la qualité de commerçant selon cet article ?,L'article distingue-t-il entre les opérations maritimes et aériennes ?
8,Quelles sont les conditions pour acquérir la qualité de commerçant selon l'article?,Quels types d'activités peuvent être assimilés aux activités énumérées aux articles 6 et 7?,L'exercice d'activités occasionnelles permet-il d'acquérir la qualité de commerçant?,Comment l'article définit-il l'exercice habituel d'une activité?,Y a-t-il des restrictions sur les types d'activités qui peuvent mener à la qualité de commerçant?,Quel est le lien entre l'article 8 et les articles 6 et 7?,La qualité de commerçant peut-elle être acquise sans exercer une activité professionnelle?,Quels sont les articles précédents qui influencent l'acquisition de la qualité de commerçant?,L'article mentionne-t-il des exemples spécifiques d'activités commerciales?,Comment l'article 8 s'inscrit-il dans le contexte du LIVRE PREMIER: LE COMMERÇANT?
9,Quels sont les actes de commerce mentionnés dans l'article?,Quelle est la signification d'une lettre de change dans le contexte commercial?,Un billet à ordre signé par un non-commerçant est-il considéré comme un acte de commerce?,Quelles sont les conditions nécessaires pour qu'un billet à ordre soit valide?,L'article fait-il référence à d'autres articles en rapport avec les actes de commerce?,Comment l'article 9 se positionne-t-il par rapport aux articles 6 et 7?,Quel est le lien entre la transaction commerciale et le billet à ordre?,L'article 9 s'applique-t-il uniquement aux commerçants?,Quels types de transactions peuvent être considérés comme des actes de commerce selon cet article?,Pourquoi est-il important de définir ce qui constitue un acte de commerce?
10,Quels types d'actes sont considérés comme des actes de commerce selon l'article?,Qui est concerné par la définition des actes de commerce dans cet article?,Quelle est la condition pour qu'un acte ne soit pas réputé acte de commerce?,L'article mentionne-t-il des exceptions aux actes de commerce?,Comment l'article définit-il le rôle du commerçant dans les actes de commerce?,Quel est le contexte dans lequel ces actes sont accomplis?,L'article précise-t-il des types spécifiques d'actes commerciaux?,Quelles preuves peuvent être apportées pour contredire la présomption d'acte de commerce?,L'article fait-il référence à d'autres lois ou règlements en matière de commerce?,Quelle est l'importance de la présomption d'acte de commerce pour les commerçants?
