article_id,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10
1,Qu'est-ce que le recouvrement selon l'article 1 ?,Qui est concerné par le recouvrement mentionné dans cet article ?,Quelles créances sont incluses dans le champ d'application du recouvrement ?,"Peut-on inclure des conventions dans le recouvrement ? Si oui, comment sont-elles définies ici ?",Quels types de créances sont englobées par le recouvrement mentionné dans cet article ?,"Le recouvrement concerne-t-il uniquement l'État ou d'autres entités également ? Si oui, lesquelles ?",Les collectivités locales et leurs groupements sont-ils inclus dans la portée du recouvrement selon cet article ?,Quels sont les moyens mentionnés pour obtenir le règlement des créances par le recouvrement ?,"Le recouvrement est-il limité aux seules lois et règlements en vigueur ou inclut-il d'autres sources comme les jugements et arrêts ? Si oui, lesquels ?",Comment sont définies les actions entreprises pour obtenir des redevables dans le contexte du recouvrement ?
2,Quelles sont les principales catégories de créances publiques mentionnées dans cet article ?,Quel est le terme utilisé pour désigner les impôts directs et taxes assimilées de l'État selon cette loi ?,"Parmi les créances mentionnées, quel type de revenus est spécifiquement énuméré comme étant domaniaux ?",Les amendes et condamnations pécuniaires sont-elles considérées comme des créances publiques ?,Quels sont les limites concernant la perception des créances commerciales selon cet article ?,Quelle loi a modifié l'article 2 de ce dahir ?,Dans quelle année budgétaire a été promulguée la loi qui a modifié l'article 2 de ce dahir ?,Quel est le nom du dahir qui a promulgué la loi mentionnée dans cette section ?,Quelle date précise est associée à la promulgation de la loi qui a modifié cet article ?,Quels sont les deux types spécifiques de créances locales incluses parmi les créances publiques selon ce texte ?
3,Quels sont les principaux agents chargés du recouvrement des créances publiques selon l'article 3 ?,Comment a été modifié cet article depuis sa première édition ?,Listez au moins trois types de trésoriers mentionnés dans l'article.,Quel est le rôle principal des agents comptables des établissements publics en ce qui concerne les créances publiques ?,"Parmi les agents mentionnés, quelles sont les secrétaires-greffiers et pour quels types de frais ?",Quelle est la date exacte de promulgation du Dahir n° 1-07-211 qui a modifié cet article en 2007 ?,Quel est le nom de l'article de la loi de finances qui a apporté des modifications à cet article en 2005 ?,Combien d'années séparent la première promulgation du Dahir n° 1-00-175 et sa modification par le Dahir n° 1-03-308 ?,Quel est l'article de la loi de finances qui a introduit les modifications en 2008 concernant cet article ?,"Parmi les agents mentionnés, quelles sont les principales fonctions des receveurs de l'administration fiscale et des douanes ?"
4,Quels sont les moyens de recouvrement des créances publiques mentionnés dans l'article ?,Comment sont perçus les droits au comptant selon l'article ?,Pour quelles taxes est émis un rôle ou état de produits collectif ?,Quelle forme prennent les ordres de recette individuels pour les droits d'enregistrement et de timbre ?,Quels sont les types d'ordres de recette mentionnés dans l'article ?,Dans quel cas peuvent être émis des sommiers de surveillance selon l'article ?,Quelle est la nature des ordres de recette individuels pour le débet ?,Peut-on citer un exemple d'ordre de recette collectif mentionné dans l'article ?,Quels sont les moyens de recouvrement des créances publiques selon l'article ?,Comment sont émis les ordres de recettes individuels pour les produits et revenus domaniaux ?
5,Quel moyen doit être utilisé pour informer les contribuables des dates de mise en recouvrement et d'exigibilité des rôles d'impôts et taxes?,Combien de jours avant la date de mise en recouvrement doivent être adressés les rôles et états de produits au comptable chargé du recouvrement?,Par quel moyen est envoyé l'avis d'imposition aux contribuables inscrits au rôle ou à l'état de produits?,Quelle information doit contenir l'avis d'imposition selon l'article?,Combien de jours avant la date de mise en recouvrement doit être envoyé l'avis d'imposition par voie postale?,Quel est le délai minimum pour envoyer les rôles et états de produits au comptable chargé du recouvrement?,Comment peut-on informer les contribuables des dates de mise en recouvrement et d'exigibilité selon l'article?,Quelle est la conséquence si les rôles et états de produits ne sont pas adressés au comptable chargé du recouvrement à temps?,Quel est le moyen utilisé pour informer les contribuables des dates de mise en recouvrement et d'exigibilité des rôles d'impôts et taxes?,Quelle est la conséquence si l'avis d'imposition n'est pas envoyé par voie postale sous pli fermé à temps?
6,Quels types de créances sont concernées par cet article ?,Qui adresse l'avis au redevable selon l'article ?,Quelles informations doivent contenir les avis dûment émis conformément à l'article ?,Quelle exception est mentionnée dans l'article concernant le recouvrement des créances ?,Quels sont les éléments précisés dans l'avis émis au redevable ?,Comment peut-on décrire la nature de la créance mentionnée dans l'article ?,Quel est le montant qui doit être précisé dans l'avis selon l'article 6 ?,Quelles dates doivent être indiquées dans l'avis émis par le comptable ?,Quels sont les modes de recouvrement exclus par cet article ?,Pour quelles créances ne s'applique pas la procédure décrite dans l'article ?
7,Quels sont les deux modes de recouvrement des créances publiques mentionnés dans l'article ?,Dans quel délai peut le recouvrement se faire à l'amiable pour les créances publiques ?,Quelle est la conséquence si le paiement n'est pas effectué amiablement ?,Comment est définie la période de mise en recouvrement selon l'article ?,Quel type de procédure est utilisé lorsque le recouvrement ne se fait pas amiablement ?,Dans quel cas précisément peut-on recourir à un recouvrement forcé pour les créances publiques ?,Quelle loi fixe les conditions du recouvrement forcé mentionné dans l'article ?,Quels sont les deux moments de la période de mise en recouvrement où le recouvrement peut se faire amiablement ?,Comment est définie la date d'exigibilité des créances publiques dans ce contexte ?,Que signifie 'ordres de recette' dans le cadre du recouvrement des créances publiques selon l'article ?
8,Quels documents sont mentionnés dans l'article 8?,Qui revêt les documents de la formule exécutoire selon l'article 8?,Quelle est la condition d'application immédiate de la formule exécutoire?,Quelles taxes sont concernées par cette disposition?,"Parmi les documents mentionnés, lequel concerne spécifiquement la taxe judiciaire?",Quel est le ministère responsable de l'exécution des documents mentionnés dans cet article?,Qui peut être délégué pour revêtir ces documents de la formule exécutoire?,Quels produits sont inclus dans les documents visés par cette disposition?,Comment est définie la force exécutoire selon l'article 8?,Quel est le but principal de cette disposition législative?
9,Quels types d'ordres de recette sont mentionnés dans cet article ?,Par qui est revêtue la formule exécutoire selon l'article ?,Quand est-ce que cette formule exécutoire devient effective ?,L'ordonnateur de quel organisme signe-t-il ces ordres de recette ?,Lesquels d'entre les établissements publics sont concernés par cette disposition ?,Quelle est la conséquence légale si un ordre de recette n'est pas revêtu de la formule exécutoire ?,Peut-on contester l'exécution d'un ordre de recette qui ne comporte pas la formule exécutoire ?,Comment peut-on valider une procédure d'émission d'ordres de recette selon cet article ?,Quels sont les taxes et impôts concernés par cette disposition ?,Est-ce que tous les types d'ordres de recette sont soumis à la même règle ?
10,Quels types de documents sont mentionnés dans cet article?,"Selon cet article, quelles sont les conséquences des extraits de jugements et arrêts concernant les amendes et condamnations pécuniaires?",A quelle section spécifique du document se réfère l'article pour déterminer les conditions d'exécution?,Quels sont les frais mentionnés dans cet article qui sont exécutoires?,Cet article concerne-t-il uniquement les amendes et condamnations pécuniaires ou inclut-il d'autres types de sanctions?,Quel est le numéro de l'article cité à la fin du texte qui détermine les conditions d'exécution?,Les extraits de jugements concernant quels aspects des décisions judiciaires sont-ils exécutoires selon cet article?,Cet article traite-t-il spécifiquement des frais de justice ou des dépens uniquement?,Quelles sont les sanctions mentionnées dans cet article qui peuvent être exécutées par voie d'exécution forcé?,Comment est qualifié le statut juridique des extraits de jugements et arrêts mentionnés dans cet article?
