article_id,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10
1,Quel est le titre du corpus regroupant les textes relatifs à la procédure pénale ?,Combien de pages contient l'extrait fourni ?,Quels sont les domaines couverts par le Code de procédure pénale mentionné dans cet article ?,Comment est-il possible d'accéder aux textes publiés ci-après concernant la procédure pénale ?,Peut-on trouver des informations spécifiques sur l'application de la loi pénale dans ce code ?,Quel est le but principal du regroupement de ces textes en un seul corps ?,Existe-t-il d'autres codes relatifs à la procédure pénale que celui mentionné ici ?,Comment sont organisés les chapitres et sections dans le Code de procédure pénale non mentionnés ici ?,Quels types de procédures pénales peuvent être inclus dans ce code selon l'extrait fourni ?,Est-ce que ce code s'applique uniquement aux tribunaux français ?
2,Quels articles du Code pénal sont abrogés selon l'article?,Quelle loi est maintenue malgré les abrogations mentionnées dans l'article?,Combien de décrets sont mentionnés comme étant abrogés par cet article?,Dans quel journal sera publiée la présente loi?,Qui a signé cette loi?,À quelle date a été faite cette loi?,Quel est le titre du code mentionné dans l'article?,Quels sont les seuls textes qui ne seront pas abrogés selon l'article?,Sur quel type d'action s'appliquent les dispositions préliminaires mentionnées à la fin de l'article?,Dans quelle ville a été faite cette loi?
3,Qu'est-ce qui ouvre droit à une action publique selon cet article ?,Quel est l'objectif principal d'une action publique mentionnée dans cette disposition ?,Quelle autre action peut être intentée en même temps qu'une action publique si un dommage a été causé ?,Quels sont les deux types d'action mentionnées dans ce texte ?,Comment se nomme l'action qui vise à réparer un dommage causé par une infraction ?,Quelle est la conséquence juridique principale d'une infraction selon cet article ?,Peut-on intenter une action civile sans avoir déjà engagé une action publique ? (Oui/Non),Quel type de dommage peut justifier l'intention d'une action civile en complément d'une action publique ?,Dans quel cas est-il possible d'engager à la fois une action publique et une action civile ?,Que signifie 'ouverture à une action publique' dans le contexte juridique ?
4,Quel organisme est responsable de l'action publique selon cet article?,Par qui peut-elle être exercée l'action publique?,Dans quels cas la partie lésée peut-elle également engager l'action publique?,Quelles sont les parties concernées par l'action publique en vertu de ce texte?,Comment est définie l'action publique dans ce contexte juridique?,Qui confère le pouvoir d'exercer l'action publique aux fonctionnaires?,Peut-on engager l'action publique sans la loi qui la confie?,Quelle est la source légale de l'action publique selon cet article?,Dans quel document peut-on trouver les conditions spécifiques pour que la partie lésée puisse engager l'action publique?,Que signifie 'mise en mouvement' dans le cadre de cette action juridique?
5,Quelles conditions doivent être respectées pour que l'action publique puisse être engagée selon cet article ?,Que se passe-t-il si une plainte est retirée ou si la personne renonce à son action civile ?,L'action publique peut-elle être arrêtée par le retrait de la plainte ?,"Quel est l'état actuel de l'action publique si la plainte est retirée, selon cet article ?",Dans quel cas l'action publique serait-elle subordonnée à l'existence d'une plainte ?,Peut-on suspendre l'action publique par le retrait de la plainte ou la renonciation à l'action civile ?,Quel est l'unique condition mentionnée dans cet article pour engager l'action publique ?,Que signifie 'l'action publique n'est pas subordonnée à l'existence d'une plainte' ?,Est-ce que cette disposition concerne uniquement la procédure civile ou aussi pénale ?,Quel est le but principal de cette disposition législative selon votre compréhension ?
6,Quels sont les principaux motifs d'éteignement de l'action publique selon cet article ?,Comment se produit l'éteignement de l'action publique par la mort du prévenu ?,Par quel mécanisme légal peut-on considérer que l'action publique est éteinte ?,Dans quels cas le retrait de plainte peut-il entraîner l'éteignement de l'action publique ?,Quelle condition doit être remplie pour que le retrait de plainte ait effet sur tous les inculpés dans un même dossier pénal ?,Quel est l'effet juridique de l'amnistie sur l'action publique ?,Comment la prescription peut-elle affecter l'action publique selon cet article ?,"Lorsqu'une loi pénale est abrogée, quel est le résultat pour l'action publique engagée avant cette abrogation ?",Quel est le rôle de la chose jugée dans l'éteignement de l'action publique ?,Dans quels cas spécifiques peut-on envisager une transaction comme motif d'éteignement de l'action publique ?
7,Quelle est la durée de prescription pour l'action publique en cas de crime selon cet article ?,Combien d'années révolues est fixée pour la prescription dans le cas d'un délit ?,Quel est le délai de prescription pour une contravention mentionné dans cette disposition légale ?,À partir de quelle date commence à courir la période de prescription pour l'action publique ?,Quels obstacles peuvent suspendre la prescription selon cet article ?,Dans quel cas la prescription peut-elle être suspendue au profit du prévenu ?,Quel est le délai supplémentaire mentionné dans l'article 77 concernant la suspension des poursuites ?,Quel est l'effet de la volonté du prévenu sur la prescription selon cet article ?,Comment est définie la prescription pour les délits psychiatriques mentionnés à l'article 77 ?,Quelle est la source de cette disposition légale ?
8,Quels délais de prescription sont mentionnés dans l'article précédent?,Quel type d'actes d'instruction ou de poursuite peuvent interrompre la prescription selon cet article?,À partir de quel acte commence à courir la prescription après l'interruption de celle-ci?,"Pour les personnes non impliquées dans un acte d'instruction spécifique, quand commence-t-elle la prescription?",Quel est l'effet de ces actes sur le délai de prescription pour l'action publique?,Comment se comporte la prescription après l'interruption due à des actes d'instruction ou de poursuite?,Peut-on citer un exemple hypothétique où cette disposition pourrait s'appliquer?,Quelle est la conséquence juridique si aucun de ces actes n'est réalisé pendant les délais mentionnés?,Comment cette règle affecte-t-elle le processus judiciaire en cas d'actes non suivis de jugement?,Dans quel contexte peut-on utiliser cette disposition du code?
9,Quel type d'action peut être exercé en même temps que l'action publique?,Qui peut exercer l'action civile selon cet article?,Que se passe-t-il si une partie porte son action devant la juridiction répressive après avoir déjà agi devant la juridiction civile?,Dans quel cas peut-on porter l'action civile devant la juridiction répressive après que celle-ci ait été saisie par le ministère public?,Quelle est la conséquence d'exercer l'action civile séparément de l'action publique?,Qui décide du dommage causé pour pouvoir exercer l'action civile?,Peut-on porter une action civile après que l'action publique ait été statuée définitivement?,Quelle est la condition pour que l'action civile puisse être portée devant la juridiction répressive?,Comment est géré le sursis à jugement dans le cas où l'action civile est exercée séparément de l'action publique?,Que signifie 'personnellement souffert du dommage causé directement par l'infraction' dans ce contexte?
10,Quelles conditions et délais régissent l'action civile selon cet article ?,Comment est la prescription de l'action civile liée à celle de l'action publique ?,Quelle branche du droit s'applique-t-il également à l'action civile ?,Quel type d'infraction déclenche-t-on l'action civile mentionnée dans cet article ?,Dans quels cas l'action civile et l'action publique sont-elles soumises aux mêmes conditions de prescription ?,Peut-on citer un autre type d'action qui est soumis à la même prescription que l'action civile ici mentionnée ?,Quelle est la différence entre l'action civile et l'action publique selon cet article ?,Comment peut-on interpréter le terme 'délais' dans ce contexte juridique ?,"Est-ce que l'article précise des exceptions à sa règle sur la prescription ? Si oui, lesquelles ?",Quelle est l'importance de cette disposition pour les parties impliquées dans un procès pénal et civil combiné ?
