document_name,article_number,livre,titre,chapitre,section,sous_section,pages,content,source_relative_path
Recueil des textes législatifs et réglementaires de BAM _ VF,1,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre premier Création-Capital-Statut juridique-Siège,,,20,"« Bank Al-Maghrib » créée par le dahir n° 1-59-233 du 23 hija 1378 (30 juin 1959), ci-après désignée la Banque, est une personne morale publique dotée de l’autonomie financière et administrative dont l’objet, les fonctions, les opérations ainsi que les modalités d’administration, de direction et de contrôle sont arrêtés par la présente loi ainsi que par les textes pris pour son application.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,2,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre premier Création-Capital-Statut juridique-Siège,,,20,"Le capital de la Banque est fixé à 500.000.000 de dirhams. Il est entièrement libéré et détenu par l’Etat. Le capital de la Banque peut être augmenté par incorporation des réserves sur décision du conseil de la Banque, après avis du commissaire du gouvernement, dans la limite de cinquante pour cent du capital. En cas d’insuffisance du capital de la Banque, le Gouvernement est tenu d’effectuer un apport en numéraire pour combler l’insuffisance selon les mêmes modalités, sous réserve d’approbation par voie réglementaire.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,3,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre premier Création-Capital-Statut juridique-Siège,,,20-21,"Sous réserve des dérogations prévues par la présente loi, les actes et opérations de la Banque sont régis par les dispositions de la législation en vigueur. 21­ Le siège de la Banque est à Rabat. La Banque établit des succursales et agences où elle le juge nécessaire.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,5,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre II Missions,Section première. – Missions fondamentales,,21,La Banque exerce le privilège d’émission des billets de banque et des pièces de monnaie ayant cours légal sur le territoire du Royaume.,pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,6,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre II Missions,Section première. – Missions fondamentales,,21,"La Banque définit et conduit en toute transparence, la politique monétaire dans le cadre de la politique économique et financière du gouvernement. L’objectif principal de la Banque est de maintenir la stabilité des prix. La Banque définit l’objectif de stabilité des prix et conduit la politique monétaire. Le ministre chargé des finances, agissant sous l’autorité du Chef du gouvernement se concerte régulièrement avec le Wali de Bank Al-Maghrib en vue d’assurer la cohérence de la politique macro-prudentielle, ainsi que celle de la politique monétaire avec les autres instruments de la politique macro- économique.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,7,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre II Missions,Section première. – Missions fondamentales,,21,La Banque intervient sur le marché monétaire en utilisant les instruments et les opérations de la politique monétaire fixés à l’article 66 de la présente loi. Elle veille au bon fonctionnement du marché monétaire et assure son contrôle.,pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,8,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre II Missions,Section première. – Missions fondamentales,,21,La Banque s’assure du bon fonctionnement du système bancaire et veille à l’application des dispositions législatives et réglementaires relatives à l’exercice et au contrôle de l’activité des établissements de crédit et organismes assimilés.,pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,9,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre II Missions,Section première. – Missions fondamentales,,21-22,"La Banque prend toutes mesures visant à faciliter le transfert des fonds et veille au bon fonctionnement et à la sécurité et l’efficience des systèmes de paiement. Dans ce cadre, elle veille à la sécurité des systèmes de compensation et de règlement livraison des instruments financiers et s’assure de la sécurité des moyens de paiement et de la pertinence des normes qui leur sont applicables. Elle peut se faire communiquer les documents et informations nécessaires à l’accomplissement des missions visées ci-dessus. 22­ La Banque contribue à la stabilité du système financier national notamment, dans le cadre du comité de coordination et de surveillance des risques systémiques, institué par les dispositions de la loi relative aux établissements de crédit et organismes assimilés. En outre, la Banque peut proposer au Gouvernement toute autre mesure visant à maintenir la stabilité financière.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,11,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre II Missions,Section première. – Missions fondamentales,,22,"La Banque met en œuvre la politique du taux de change dans le cadre du régime de change et des orientations fixés par le Gouvernement, après avis de la Banque.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,12,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre II Missions,Section première. – Missions fondamentales,,22,"La Banque exerce la mission d’intérêt général de détenir et de gérer les réserves de change du pays. Les réserves de change sont inscrites à l’actif du bilan de la Banque et lui sont affectées pour l’exercice de ses missions fondamentales telles que fixées par la présente loi. Elles ne peuvent faire l’objet de mesures conservatoires ou d’exécution prononcées à l’encontre de l’Etat ni garantir des obligations contractées par ce dernier. La Banque peut utiliser les réserves de change dans un objectif de préservation de la valeur du dirham, si le régime et les orientations de change adoptés le permettent et après concertation avec l’autorité gouvernementale chargée des finances. Dans le cadre de la gestion des réserves de change et nonobstant toutes autres dispositions législatives en vigueur, la Banque est habilitée à conclure des conventions avec ses contreparties étrangères sur la base de conventions cadres des associations professionnelles internationales. La Banque peut déléguer la gestion d’une partie des réserves de change à des mandataires dans les conditions fixées par elle.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
